message,is_scam,category,subcategory
"Fidelity: Unusual login attempt detected from new device. Verify it's you at fidelity.com/security. To report unauthorized access, call 800-544-6666.",0,authority,financial_institutions
"Your Amazon order #8829 has been shipped! Track your package: hxxp://amaz0n-tracking.net. Click now to avoid delivery issues.",1,commerce,shopping
"URGENT: Problem with your recent Amazon order. Verify your payment details at hxxp://amazon-secure-verify.com to avoid cancellation.",1,commerce,shopping
"Amazon: Your order #112-7366944-3891234 has shipped and will arrive by 8pm today. Track your delivery at amazon.com/orders or via the Amazon app. Questions? Contact Amazon Customer Service.",0,commerce,shopping
"Your Walmart order has been canceled due to payment issues. To restore order, update payment info: hxxp://walmart-secure.shop/restore",1,commerce,shopping
"SHIPPING ALERT: Package delivery attempted. Final notice - click hxxp://delivery-status-verify.net to reschedule or package returns tomorrow.",1,commerce,shopping
"FedEx: Your package from Best Buy will arrive on Dec 20 between 2-6 PM. Track at fedex.com with tracking number: 7891234567. Need to reschedule? Sign in to fedex.com/delivery-manager.",0,commerce,shopping
"REFUND NOTICE: Your recent purchase refund of $89.99 is pending. Click hxxp://refund-secure.xyz and enter your card details to claim.",1,commerce,shopping
"Your refund request was approved! To receive $143.50, send your bank details to refunds@shopping-returns.net",1,commerce,shopping
"Target: Your refund of $67.89 for order #TGT-456789 has been processed to your original payment method. Refund will appear in 3-5 business days. View details at target.com/orders.",0,commerce,shopping
"iPhone 14 Pro: 90% OFF! Only $199 today. Limited stock. Buy now: hxxp://cheap-phones-sale.net. Pay with Bitcoin for extra discount!",1,commerce,shopping
"AUTHENTIC Ray-Ban sunglasses 85% OFF! Must sell today. Contact WhatsApp: +1-234-SCAM for exclusive deals.",1,commerce,shopping
"Nike.com: Holiday Sale - Up to 50% off select styles. Shop now at nike.com/holiday-deals. Free shipping for Nike Members. Returns always free within 60 days.",0,commerce,shopping
"URGENT: Your eBay account needs verification. Suspicious activity detected. Verify at hxxp://ebay-secure-verify.net to avoid suspension.",1,commerce,marketplace
"Hi, I'm interested in your item. I'll pay extra $100 if you accept. Send your PayPal to buyer.88751@mail.net for immediate payment.",1,commerce,marketplace
"eBay: New message about 'Vintage Camera' from buyer_john. View and respond securely at ebay.com/messages. Remember: Always complete transactions on eBay for purchase protection.",0,commerce,marketplace
"Your Airbnb booking payment failed. Update payment within 2hrs: hxxp://airbnb-payments.site or lose reservation.",1,commerce,marketplace
"SPECIAL OFFER: Luxury apartment, 80% below market rate. Send security deposit via Western Union to secure. Contact +44-SCAM-NUMBER.",1,commerce,marketplace
"Airbnb: Booking confirmed for 'Mountain View Cottage'. Check-in Dec 24, 3PM. Access all details at airbnb.com/trips. Questions? Message your host through the Airbnb app.",0,commerce,marketplace
"TICKET ALERT: Concert tickets 50% off! Limited time offer. Pay through hxxp://ticket-secure-pay.net using bank transfer.",1,commerce,marketplace
"2 VIP concert tickets for sale! Transfer money to my personal account for immediate delivery. WhatsApp +1-SCAM for details.",1,commerce,marketplace
"Ticketmaster: Your order for 'Taylor Swift | The Eras Tour' is confirmed. Access tickets at ticketmaster.com/mybehavior or via the Ticketmaster app. Beware of resale scams - only buy from verified sources.",0,commerce,marketplace
"URGENT INVOICE: Your company owes $2,487 for web services. Pay within 24hrs to avoid legal action: hxxp://invoice-pay-secure.net",1,commerce,business_operations
"Please update your vendor payment information immediately. New account details: SWIFT: SCAM123. Reply with confirmation.",1,commerce,business_operations
"Adobe: Your invoice #AD-456789 for Creative Cloud Business ($52.99) is now available. View and pay securely at adobe.com/account. Due date: Jan 1, 2024. Questions? Contact Adobe Business Support.",0,commerce,business_operations
"FINAL NOTICE: Your business listing will be removed. Pay $299 today: hxxp://business-listing-renew.com to maintain visibility.",1,commerce,business_operations
"Your Yellow Pages listing expires in 24hrs! Send $399 via Bitcoin to fast-track renewal. Contact admin@yp-renewal.net",1,commerce,business_operations
"Google Business Profile: Your business verification is complete for 'Main Street Cafe'. Manage your listing at business.google.com. Need help? Visit support.google.com/business.",0,commerce,business_operations
"Office supplies order confirmed: $1,899. Must pay today. New supplier special offer. Bank details: hxxp://supply-order.net",1,commerce,business_operations
"ATTENTION: Your toner cartridge order ($799) will be auto-billed. To cancel, send company details to orders@supply-scam.com",1,commerce,business_operations
"Staples Business Advantage: Your supply order #STP-789012 totaling $234.56 will ship on Dec 19. View order details and track shipment at staplesadvantage.com. Questions? Call 1-800-3STAPLE.",0,commerce,business_operations
"WARNING: Virus detected on your Windows PC! Call our Microsoft support team immediately at 1-888-SCAM to prevent data loss. $299 for immediate fix.",1,customer_service,technical_support
"Your computer has been locked! Multiple viruses found. Call Apple Security Team +1-SCAM-NUMBER now or risk permanent damage.",1,customer_service,technical_support
"Microsoft Security Alert: To check if your device is affected by recent malware attacks, run Windows Security scan: Start > Settings > Windows Security. Never share remote access unless you initiated contact. Questions? Visit microsoft.com/security.",0,customer_service,technical_support
"ALERT: Your antivirus subscription expires in 2 hours! Renew now at hxxp://norton-security-renewal.net to prevent infection.",1,customer_service,technical_support
"Your system is infected with 13 viruses! Download our security tool from hxxp://antivirus-protect.xyz. Credit card required.",1,customer_service,technical_support
"Norton: Your security subscription will renew automatically on Jan 15, 2024 ($84.99). Manage your subscription at norton.com/mynorton. Questions? Call 1-855-815-2726.",0,customer_service,technical_support
"Your cloud storage is 99% full! Urgent action required: Click hxxp://cloud-storage-verify.net to prevent data loss.",1,customer_service,technical_support
"CRITICAL: Google Drive storage breach detected. Verify account at hxxp://gdrive-secure.com to protect files.",1,customer_service,technical_support
"Google Drive: You're using 14.8GB of 15GB storage (98%). Upgrade your storage at drive.google.com/storage or manage your files at drive.google.com. Learn more about storage options at support.google.com.",0,customer_service,technical_support
"LEGAL NOTICE: Your case requires immediate attention. Pay $500 retainer fee via Bitcoin to hxxp://legal-services.net for representation.",1,customer_service,professional_services
"Urgent Legal Matter: Settlement pending in your favor. Send $299 processing fee to claim. Contact legal@settlement-claim.net",1,customer_service,professional_services
"Smith & Associates Law Firm: Your consultation is confirmed for Dec 20, 2:00 PM at our downtown office. Free 30-minute initial consultation. Directions and parking info at smithlaw.com/contact. Questions? Call 555-0123.",0,customer_service,professional_services
"INSURANCE ALERT: Your policy will be canceled! Update payment info at hxxp://insurance-verify.net within 6 hours.",1,customer_service,professional_services
"Final Notice: Your health insurance claim needs verification. Send medical history to claims@health-verify.net immediately.",1,customer_service,professional_services
"State Farm: Your auto insurance payment of $143.50 is due Dec 25. Pay securely at statefarm.com or through our mobile app. Questions about your policy? Call 1-800-STATE-FARM.",0,customer_service,professional_services
"URGENT: Your medical records show eligibility for $150,000 settlement. Pay $199 processing fee: hxxp://medical-claim.net",1,customer_service,professional_services
"Immediate Action Required: Send $299 to register for premium healthcare services. WhatsApp +1-SCAM-NUMBER for details.",1,customer_service,professional_services
"Kaiser Permanente: Your prescription is ready for pickup at Main Street Pharmacy. Pay copay of $15 at pickup. Questions? Call your pharmacy at 555-0177 or visit kp.org/prescriptions.",0,customer_service,professional_services
"POWER SHUTOFF NOTICE: Pay $499 immediately or service disconnects today. Click hxxp://utility-pay.net to restore.",1,customer_service,utility_services
"URGENT: Your electricity will be disconnected in 2 hours. Call +1-SCAM-NUMBER now to prevent shutoff.",1,customer_service,utility_services
"PG&E: Your bill of $127.86 is due Dec 22. Pay online at pge.com or by phone at 1-877-704-8470. Payment assistance programs available at pge.com/assistance. We never demand immediate payment or threaten immediate disconnection.",0,customer_service,utility_services
"INTERNET SERVICE ALERT: Network breach detected! Verify account at hxxp://internet-secure.net or face disconnection.",1,customer_service,utility_services
"Your WiFi has been compromised! Call Internet Security Team +1-SCAM-NUMBER immediately or service will be terminated.",1,customer_service,utility_services
"Comcast: Scheduled maintenance in your area on Dec 21, 2-5 AM. No action needed. Track status at xfinity.com/status. Mobile hotspots available for Xfinity Internet customers during maintenance.",0,customer_service,utility_services
"FINAL WARNING: Water service will be disconnected! Pay $399 through hxxp://water-utility-pay.net to prevent shutoff.",1,customer_service,utility_services
"Your water meter shows unusual usage. Verify account at hxxp://water-verify.net or face penalties.",1,customer_service,utility_services
"City Water Department: Your monthly bill of $78.92 is ready. Due date: Jan 5. Pay online at citywater.gov or at any authorized payment location. Questions? Call 555-0148 during business hours.",0,customer_service,utility_services
"ALERT: Unauthorized access detected on your account. Click hxxp://secur1ty-bank-verify.com to verify your identity immediately. Your account will be suspended in 2 hours.",1,financial,banking_and_payment
"Dear customer, we detected unusual activity on your account. Please verify by texting back your online banking username and password.",1,financial,banking_and_payment
"Revolut: We noticed a charge of $458.23 on your card ending in 7580 that appears unusual for your spending pattern. For your security, you might review this transaction in your Revolut app or at https://revolut.com. Never share your PIN or password with anyone.",0,financial,banking_and_payment
"WARNING: $2,499 transaction pending at Amazon. If not you, click hxxp://chase-secure02.net/verify to cancel transaction immediately!",1,financial,banking_and_payment
"Suspicious withdrawal attempt ($850) detected on your card ending 4355. Reply YES to confirm or NO to block.",1,financial,banking_and_payment
"Revolut: You just made an online payment of EUR 64.47 with your card ending in 7587.",0,financial,banking_and_payment
"URGENT: Your payment of $1,249 has been processed. To cancel this wire transfer, call our security team at +1-855-SCAM immediately.",1,financial,banking_and_payment
"Your wire transfer of $5,000 to J. Smith was declined. To complete, verify at hxxp://wire-secure-verify.net with your account details.",1,financial,banking_and_payment
"Hey Ana! Revolut is offering €100 for new customers right now. Just let me know if you're interested!",0,financial,banking_and_payment
"CRITICAL: Invest in our new crypto fund! Guaranteed 500% returns in 30 days. Send Bitcoin to secure your spot: bc1qxy2kgdygjrsqtzq2n0yrf2493p83kkfjhx0wlh",1,financial,investment
"🚀 LAST CHANCE! Join our exclusive forex trading group. Turn $100 into $5000 weekly. Contact WhatsApp: +44-SCAM-NUMBER",1,financial,investment
"Fidelity Investments: Your mutual fund purchase of $5,000 into FXAIX is confirmed. Settlement date: Dec 20. View your updated portfolio at fidelity.com/investments. For support with your account, visit fidelity.com/customer-service.",0,financial,investment
"BINARY OPTIONS OPPORTUNITY: Start earning $1000/day with our automated trading system. Pay $299 to join: hxxp://binary-profits.xyz",1,financial,investment
"Get rich with our AI trading bot! 100% success rate. Send $500 worth of ETH to activate: 0x742d35Cc6634C0532925a3b844Bc454e4438f44e",1,financial,investment
"Hi Sarah! Just saw Vanguard is offering a great deal on their index funds right now - no minimum investment required!",0,financial,investment
"🔥 NEW CRYPTO ALERT! BitMaxCoin launching tomorrow. Buy now at $0.01, guaranteed to hit $1! Register: hxxp://bitmaxcoin.net",1,financial,investment
"Exclusive Forex Signal Group! Copy our trades for guaranteed profits. Join now: hxxp://forex-signals.xyz. Only $199/month.",1,financial,investment
"Hi Thomas, just saw that Schwab dropped their commission fees to zero! Might be worth checking out if you're still paying fees at E*TRADE.",0,financial,investment
"LOAN APPROVED! Get $50,000 instantly. Send $500 processing fee via Western Union to release funds. Reply YES to proceed.",1,financial,lending
"Pre-approved for $25,000! No credit check needed. Send SSN and bank details to hxxp://quickloans-secure.xyz",1,financial,lending
"Capital One: Your personal loan is confirmed. Check more personalized offers at capitalize.com.",0,financial,lending
"DEBT CONSOLIDATION ALERT: Pay off all debts today! Send $199 via Bitcoin to start: hxxp://debt-freedom.xyz",1,financial,lending
"Your credit card debts can be cleared for pennies on the dollar! Contact debthelp@scam.net for secret method.",1,financial,lending
"Hey David! Just FYI - my credit union is offering really low rates on home loans right now. 4.5% for 30-year fixed. Worth checking out if you're still house hunting. Let me know if you want the details!",0,financial,lending
"STUDENT LOAN FORGIVENESS PROGRAM! Pay $599 to eliminate all student debt. Must act now!",1,financial,lending
"ATTENTION: Qualify for instant loan! Send photos of your credit cards to loans@fastcash.xyz",1,financial,lending
"Bank of America has a special rate on personal loans this month. My colleague just got approved for 6.5% APR.",0,financial,lending
"URGENT Work From Home Opportunity! Make $5,000/week guaranteed. No experience needed. Contact recruiter@job-offer.xyz for immediate start.",1,opportunity_rewards,employment
"Congratulations! You've been selected for a remote position. Send $199 for background check to start earning $900/day!",1,opportunity_rewards,employment
"Amazon Careers: Thank you for applying to Customer Service Representative (Job ID: CS4527). Salary range: $18-22/hr + benefits. Next step: Complete your assessment at amazon.jobs/assess/CS4527. Questions? Contact recruiting@amazon.com. Amazon never charges fees for employment.",0,opportunity_rewards,employment
"HIRING NOW: Data Entry Position - $45/hr. Send your bank details to jobs@data-entry-work.net for immediate payment setup.",1,opportunity_rewards,employment
"Work From Home Opportunity! Process payments for our company. Use your bank account, earn 10% commission. Contact +1-SCAM-NUMBER.",1,opportunity_rewards,employment
"Microsoft Careers: Your application for Software Engineer (REQ58769) is under review. Salary: $125,000-$165,000/year + benefits. Schedule your technical interview at careers.microsoft.com/interview/REQ58769. Visit careers.microsoft.com/applicant-faq for common questions.",0,opportunity_rewards,employment
"URGENT: Your resume was selected! Pay $299 training fee via Bitcoin to secure high-paying remote position. Start tomorrow!",1,opportunity_rewards,employment
"Make $800 daily from home! Small investment required ($450) for training materials. WhatsApp +44-SCAM-NUMBER for details.",1,opportunity_rewards,employment
"Google Hiring Event: Join our Virtual Career Fair on Dec 20, 2-5PM EST. Roles: Cloud Solutions Engineer ($130-180K). Register at careers.google.com/events/dec2023. No payment required. All interviews conducted through official Google Meet platform.",0,opportunity_rewards,employment
"CONGRATULATIONS! You won $1,000,000 in the Instagram Lottery! Send $500 processing fee to claim: hxxp://prize-claim.net",1,opportunity_rewards,prizes
"YOU'RE A WINNER! Your email was randomly selected. Send passport copy and bank details to claim@lottery-win.xyz",1,opportunity_rewards,prizes
"Target: Congratulations! You've earned a $50 Target Gift Card through our Circle Rewards program. Redeem in the Target app or at target.com/circle/rewards using code TGT-RF456789. Valid through 3/31/24. Help: 1-800-591-3869. Never pay fees to claim rewards.",0,opportunity_rewards,prizes
"XBOX Sweepstakes Winner! You won a new console. Pay $99 shipping fee at hxxp://xbox-prize.net to receive your prize.",1,opportunity_rewards,prizes
"Amazon Raffle Winner! To receive your free iPhone 14, click hxxp://amazon-prizes.xyz and enter your credit card for verification.",1,opportunity_rewards,prizes
"Walmart: You've won our monthly customer survey drawing! Claim your $100 Walmart Gift Card at any store's customer service desk with ID and confirmation code WM23789456. Questions? Visit walmart.com/giftcard-support or call 1-800-925-6278.",0,opportunity_rewards,prizes
"GAME SHOW WINNER! Pay $299 processing fee via Western Union to claim your $50,000 prize. Contact prize@gameshow-win.net",1,opportunity_rewards,prizes
"Survey Reward: Complete survey and pay $10 fee to receive your free iPad! Click hxxp://survey-rewards.xyz now!",1,opportunity_rewards,prizes
"Best Buy Rewards: Thanks for being an elite member! Your $75 reward certificate is available in your Best Buy account. Redeem online at bestbuy.com/rewards or in stores with your member ID. Certificate expires 1/31/24. Visit bestbuy.com/rewards-faq for details.",0,opportunity_rewards,prizes
"INHERITANCE NOTICE: You are beneficiary to $4.5M USD. Send $1,500 legal fee to claim. Contact barrister@inheritance.net",1,opportunity_rewards,inheritance
"URGENT: Your unknown relative left you $2.8M. Transfer $750 via Bitcoin to start claim process. Reply within 24hrs!",1,opportunity_rewards,inheritance
"Charles Schwab Estate Services: Our records indicate you may be a beneficiary in the Robert Johnson estate. Schedule a free consultation at schwab.com/estates or call 800-435-4000. Note: Schwab never requests upfront fees or personal information by email.",0,opportunity_rewards,inheritance
"CONFIDENTIAL: Late oil merchant left you $5.2M. Send passport and bank details to claim@inheritance-lawyer.xyz",1,opportunity_rewards,inheritance
"Your inheritance claim needs processing! Pay $2,999 to attorney via Western Union. Contact +1-SCAM-NUMBER immediately.",1,opportunity_rewards,inheritance
"JP Morgan Estate Planning: Following up on your inquiry about the Thompson Family Trust distribution. Please schedule an appointment at chase.com/private-bank/estates or visit your local Chase branch. For questions, call Private Client Services: 1-866-265-1727.",0,opportunity_rewards,inheritance
"LAST CHANCE: Unclaimed inheritance of $3.7M expires today! Send $500 via MoneyGram to secure funds. Urgent!",1,opportunity_rewards,inheritance
"Your deceased relative's estate! Send $899 administrative fee to hxxp://estate-claims.net within 12 hours.",1,opportunity_rewards,inheritance
"Vanguard Beneficiary Services: Your inherited IRA documentation is ready for review. Log in to vanguard.com/inheritedira to schedule a consultation. Questions? Call 800-662-2739. No fees required for inherited account services.",0,opportunity_rewards,inheritance
